longitude,latitude,u_10m_component_of_wind,v_10m_component_of_wind,dewpoint_2m_temperature,temperature_2m,mean_sea_level_pressure,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,surface_sensible_heat_flux,top_net_solar_radiation,top_net_thermal_radiation,total_cloud_cover,total_precipitation
42,-91,-4.568314,3.202111,256.09122,259.7204,102546.195,1549.625,-126846.66,99248.05,68568.19,11291.75,-759566.5,0.63909787,0
42,-91,4.5883613,6.576222,275.31613,275.7211,101559.91,160819.38,33482.594,98475.625,85112.94,818452.75,-917879.3,0.9985046,4.19E-05
42,-91,3.3143353,5.7168393,275.5546,276.5493,101209.67,664.125,66395.56,98143.984,135524.88,12187,-940704.94,1,3.57E-05
42,-91,2.160885,4.6782274,277.3229,277.42072,100839.06,161815.5,36932.97,97804.55,161190.5,879456.25,-907389.56,1,7.34E-05
42,-91,-0.60881436,3.8307934,277.45395,277.93243,100687.66,1272.875,58213.78,97675.62,174977.75,14734.5,-867966.6,1,4.86E-05
42,-91,5.5423293,-3.081953,268.31604,270.7798,101041.81,436802,-20442.594,97883.11,-204066.44,1073896.5,-909563.44,1,3.10E-06
42,-91,4.782524,-2.6159563,261.03262,267.26062,101582.375,11012.75,-261618.28,98355.086,132131.12,25613.25,-836807.8,0,0
42,-91,-3.570903,-0.1628089,263.58124,269.06763,102107.4,1128446.6,-251515.05,98897.82,-587352.9,1644685.8,-619817.75,0.9372835,0
42,-91,-2.9015296,-0.25012589,270.1847,270.9987,101633.45,1217.5,-11041.844,98461.83,31377.875,15078.75,-551478.94,1,0.000719557
42,-91,-2.022035,-0.79332936,269.61334,272.17407,101545.27,1061097.2,-199470.03,98391.06,-433571.7,1626784.1,-862238.6,0.9006913,0
42,-91,-1.9156442,-0.6049086,271.28015,272.40552,101561.34,2047.625,11788.5625,98406.66,23388.312,18590.25,-638330.2,1,0.000793476
42,-91,8.306709,-2.4753299,266.95026,268.5099,100973.88,245047.5,-20297.969,97796.76,-128483.875,885239.9,-860875.7,0.9995117,0.00022848
42,-91,9.376821,-1.0084049,256.95886,261.73093,101768.53,15052.625,-286700.72,98466.03,71962,35941,-790915.06,0.9926144,0
42,-91,6.3961134,-2.3834171,252.54396,258.16855,104026.16,1482625.4,-399943.56,100601.586,-1008819.5,1874172.1,-773230.8,0,0
42,-91,3.0456994,-1.6582268,253.39389,258.68164,104296.96,20310,-331431.75,100874.45,63053.312,41724.75,-750474.2,0,0
42,-91,-3.2499583,1.4410658,255.43608,263.59088,104540.984,1435586,-396059.3,101179.11,-776061.9,1886496.8,-802302,0,0
42,-91,-3.1258361,1.3656975,259.65503,267.44745,103976.125,10902.125,-107487.31,100680.15,60932.188,34701.75,-756581.75,0.9622175,0
42,-91,-3.41841,1.7793041,266.50995,269.56537,102631.89,361428.38,-56144.78,99399.17,-179673.56,1030175,-639727.7,0.9739368,0.000630129
42,-91,-1.5751947,-0.21703732,268.30896,269.79822,102369.055,3818.5,-31475.562,99149.09,8752.625,31878.75,-860599.6,1,7.70E-05
42,-91,-6.8539367,0.86753124,269.7727,271.64285,101919.414,511733,-68975.25,98743.695,-225065.56,1160926.4,-604514.44,1,5.18E-07
42,-91,-5.8290415,-1.908229,270.20947,271.2343,101596.23,2490.375,-25959.062,98425.85,39579.562,29675.5,-562227.5,1,0.00162572
42,-91,8.744683,-3.1812186,268.88855,270.22626,100634.1,273492.38,-76495.84,97474.71,-53891.125,961184.5,-766674.7,0.99169886,0.00010597
